[ 2024-01-08T18:15:51+08:00 ] [ error ] [2]DOMDocument::loadHTML(): htmlParseEntityRef: expecting ';' in Entity, line: 146
[ error ] [2]DOMDocument::loadHTML(): htmlParseEntityRef: expecting ';' in Entity, line: 146
[ error ] [2]DOMDocument::loadHTML(): htmlParseEntityRef: expecting ';' in Entity, line: 146
[ error ] [2]DOMDocument::loadHTML(): Tag section invalid in Entity, line: 487
[ error ] [2]DOMDocument::loadHTML(): Tag header invalid in Entity, line: 495
[ error ] [2]DOMDocument::loadHTML(): Tag nav invalid in Entity, line: 495
[ error ] [2]DOMDocument::loadHTML(): Tag svg invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag path invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag svg invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag path invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag svg invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag path invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag path invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag svg invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag path invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag svg invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag path invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag path invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag svg invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag path invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag svg invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag path invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag svg invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag path invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag svg invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag path invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag svg invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag path invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag svg invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag path invalid in Entity, line: 531
[ error ] [2]DOMDocument::loadHTML(): Tag svg invalid in Entity, line: 531
